No.	â∑ìx	é•èÍ	Isd	Vsd	Vbg	
0	0.00E+00	0.00E+00	5.00E-06	1.00E+00	1.50E+01	5.00E-06
1	0.00E+00	0.00E+00	5.00E-06	1.00E+00	1.35E+01	5.00E-06
2	0.00E+00	0.00E+00	5.00E-06	1.00E+00	1.20E+01	5.00E-06
3	0.00E+00	0.00E+00	5.00E-06	1.00E+00	1.05E+01	5.00E-06
4	0.00E+00	0.00E+00	5.00E-06	1.00E+00	9.00E+00	5.00E-06
5	0.00E+00	0.00E+00	5.00E-06	1.00E+00	7.50E+00	5.00E-06
6	0.00E+00	0.00E+00	5.00E-06	1.00E+00	6.00E+00	5.00E-06
7	0.00E+00	0.00E+00	5.00E-06	1.00E+00	4.50E+00	5.00E-06
8	0.00E+00	0.00E+00	5.00E-06	1.00E+00	3.00E+00	5.00E-06
9	0.00E+00	0.00E+00	5.00E-06	1.00E+00	1.50E+00	5.00E-06
10	0.00E+00	0.00E+00	5.00E-06	1.00E+00	0.00E+00	5.00E-06
11	0.00E+00	0.00E+00	5.00E-06	1.00E+00	-1.50E+00	5.00E-06
12	0.00E+00	0.00E+00	5.00E-06	1.00E+00	-3.00E+00	5.00E-06
13	0.00E+00	0.00E+00	4.90E-06	1.00E+00	-4.50E+00	4.90E-06
14	0.00E+00	0.00E+00	4.19E-06	1.00E+00	-6.00E+00	4.19E-06
15	0.00E+00	0.00E+00	3.52E-06	1.00E+00	-7.50E+00	3.52E-06
16	0.00E+00	0.00E+00	6.04E-07	1.00E+00	-9.00E+00	6.04E-07
17	0.00E+00	0.00E+00	2.70E-07	1.00E+00	-1.05E+01	2.70E-07
18	0.00E+00	0.00E+00	1.64E-07	1.00E+00	-1.20E+01	1.64E-07
19	0.00E+00	0.00E+00	7.75E-08	1.00E+00	-1.35E+01	7.75E-08
20	0.00E+00	0.00E+00	6.22E-08	1.00E+00	-1.50E+01	6.22E-08
