0	0.00E+00	0.00E+00		0.00E+00	-1.50E+01	2.80E-09
1	0.00E+00	0.00E+00		0.00E+00	-1.35E+01	-2.70E-09
2	0.00E+00	0.00E+00		0.00E+00	-1.20E+01	-4.00E-10
3	0.00E+00	0.00E+00		0.00E+00	-1.05E+01	1.20E-09
4	0.00E+00	0.00E+00		0.00E+00	-9.00E+00	1.96E-09
5	0.00E+00	0.00E+00		0.00E+00	-7.50E+00	4.70E-10
6	0.00E+00	0.00E+00		0.00E+00	-6.00E+00	2.87E-09
7	0.00E+00	0.00E+00		0.00E+00	-4.50E+00	5.47E-09
8	0.00E+00	0.00E+00		0.00E+00	-3.00E+00	7.61E-09
9	0.00E+00	0.00E+00		0.00E+00	-1.50E+00	9.94E-09
10	0.00E+00	0.00E+00		0.00E+00	0.00E+00	1.25E-08
11	0.00E+00	0.00E+00		0.00E+00	1.50E+00	1.40E-08
12	0.00E+00	0.00E+00		0.00E+00	3.00E+00	2.12E-08
13	0.00E+00	0.00E+00		0.00E+00	4.50E+00	2.53E-08
14	0.00E+00	0.00E+00		0.00E+00	6.00E+00	3.01E-08
15	0.00E+00	0.00E+00		0.00E+00	7.50E+00	2.10E-08
16	0.00E+00	0.00E+00		0.00E+00	9.00E+00	2.25E-08
17	0.00E+00	0.00E+00		0.00E+00	1.05E+01	2.40E-08
18	0.00E+00	0.00E+00		0.00E+00	1.20E+01	2.58E-08
19	0.00E+00	0.00E+00		0.00E+00	1.35E+01	2.74E-08
20	0.00E+00	0.00E+00		0.00E+00	1.50E+01	2.92E-08
